"code","name","Artista","Musica","Letra"
1001,"1001.mp4","Paralamas do Sucesso","A LHE ESPERAR",
1002,"1002.mp4","Aviões do Forró e Banda Calypso","AGORA CHORA",
1003,"1003.mp4","Asa de Águia e Ivete Sangalo","ALÉM MAR",
1004,"1004.mp4","Fresno","ALGUÉM QUE TE FAZ SORRIR",
1005,"1005.mp4","Eduardo Costa e Amado Batista","AMIGO",
1006,"1006.mp4","Ivete Sangalo","CADÊ DALILA?",
1007,"1007.mp4","Ivete Sangalo","DENGO DE AMOR",
1008,"1008.mp4","Asa de Águia","DIA DO ASA",
1009,"1009.mp4","Asa de Águia","FARRAUÊ",
1010,"1010.mp4","Chiclete com Banana","FLUTUAR",
1011,"1011.mp4","Edson e Hudson e Bruno e Marrone","IMPREVISÍVEL",
1012,"1012.mp4","Banda Calypso","MÁQUINA DO TEMPO",
1013,"1013.mp4","Tony Garrido","ME LIBERTEI",
1014,"1014.mp4","Eduardo Costa","MELHOR OU PIOR",
1015,"1015.mp4","Moacyr Franco","MILAGRE DA FLECHA",
1016,"1016.mp4","Hugo e Tiago","MISTERIOSA",
1017,"1017.mp4","Guilherme e Santiago","O AMOR É ASSIM",
1018,"1018.mp4","Zezé Di Camargo e Luciano","O QUE VAI SER DE NÓS",
1019,"1019.mp4","Armandinho","OUTRA VIDA",
1020,"1020.mp4","Latino e André e Adriano","PANCADÃO OU SERTANEJO",
1021,"1021.mp4","Cesar Menotti e Fabiano","PARA DE CHORAR",
1022,"1022.mp4","Skank","PARA-RAIO",
1023,"1023.mp4","Belo","PERFUME",
1024,"1024.mp4","Jake","PÓ PARÁ COM PÓ",
1025,"1025.mp4","Jammil e Uma Noites","SAUDADE DÓI",
1026,"1026.mp4","Luiz Cláudio e Giuliano","SEU JARDINEIRO (MARGARIDA)",
1027,"1027.mp4","Daniela Mércury","SOL DO SUL",
1028,"1028.mp4","Banda Eva","TODA LINDA",
1029,"1029.mp4","Jota Quest","VEM ANDAR COMIGO",
1030,"1030.mp4","Banda Calypso","VIAGEM LOUCA",
1071,"1071.mp4","Musical San Francisco","ATENDA O TELEFONE",
1072,"1072.mp4","Jeito Moleque","CORAÇÃO ABERTO",
1073,"1073.mp4","Alexandre Pires","DESSA VEZ EU ME RENDO",
1074,"1074.mp4","Cheiro de Amor","DIAS DE SOL",
1075,"1075.mp4","Mart'nália","ELA É MINHA CARA",
1076,"1076.mp4","Frejat","EU NÃO QUERO BRIGAR MAIS NÃO",
1077,"1077.mp4","Alexandre Peixe","EU SOU MAIS VOCÊ",
1078,"1078.mp4","Rodriguinho e Thiaguinho","FATALMENTE",
1079,"1079.mp4","Swing e Simpatia","IRRACIONAL",
1080,"1080.mp4","Exaltasamba","JOGO DE SEDUÇÃO",
1081,"1081.mp4","Jota Quest","LA PLATA",
1082,"1082.mp4","Tatau","MAIS DE MIL MOTIVOS",
1083,"1083.mp4","Wanessa Camargo","ME PEGA DE JEITO",
1084,"1084.mp4","Inimigos da HP","MIL PALAVRAS",
1085,"1085.mp4","Víctor e Léo","NADA NORMAL",
1086,"1086.mp4","Seu Cuca","NÃO HÁ",
1087,"1087.mp4","Jeito Moleque","NAS NUVENS",
1088,"1088.mp4","Zezé Di Camargo e Luciano","NUNCA AMEI ASSIM",
1089,"1089.mp4","Strike","O JOGO VIROU",
1090,"1090.mp4","Papas da Língua","OBA, OBA",
1091,"1091.mp4","Roberto Leal","BATE O PÉ",
1092,"1092.mp4","Tihuana","DE LONGE",
1093,"1093.mp4","Fernando Mendes","DE QUE VALE TER TUDO NA VIDA",
1094,"1094.mp4","Isabella Taviani","DIGA SIM PRA MIM",
1095,"1095.mp4","O Rappa","MEU MUNDO É O BARRO",
1096,"1096.mp4","Biquini Cavadão e Renato Russo","MÚMIAS",
1097,"1097.mp4","Leonardo","POR QUE É TÃO CRUEL O AMOR?",
1098,"1098.mp4","Sorriso Maroto","TARDE DEMAIS",
1099,"1099.mp4","Roberto Leal","VERDE VINHO",
1100,"1100.mp4","Zé Ramalho","VILA DO SOSSEGO",
1101,"1101.mp4","Zeca Baleiro","VOCÊ É MÁ",
1102,"1102.mp4","Eduardo Costa e Bruno e Marrone","VOCÊ FOI ATRIZ",
1103,"1103.mp4","Nara Leão","ATÉ QUEM SABE",
1104,"1104.mp4","Inimigos da HP","BONS MOMENTOS",
1105,"1105.mp4","Mart'nália","CABIDE",
1106,"1106.mp4","Alexandre Pires e Daniel","CHEGUEI TARDE DEMAIS",
1107,"1107.mp4","Mart'nália","DON'T WORRY, BE HAPPY",
1108,"1108.mp4","Lenine","É O QUE ME INTERESSA",
1109,"1109.mp4","Gonzaguinha","FELIZ",
1110,"1110.mp4","Grupo To Legal","LOUCA AMIZADE",
1111,"1111.mp4","Doce Encontro","LUGARES PROIBIDOS",
1112,"1112.mp4","Natiruts","NATICONGO",
1113,"1113.mp4","Sampa Crew","NO MESMO LUGAR",
1114,"1114.mp4","Fernando e Sorocaba","NOITE ENLUARADA",
1115,"1115.mp4","Grupo É Demais","OUVE ESSA CANÇÃO",
1116,"1116.mp4","Doce Encontro","PERDOA",
1117,"1117.mp4","Atitude 4","PRO MUNDO INTEIRO",
1118,"1118.mp4","Exaltasamba","SE LIGA",
1119,"1119.mp4","Adriana Calcanhoto","SEU PENSAMENTO",
1120,"1120.mp4","Alceu Valença","SOLIDÃO",
1121,"1121.mp4","Frejat","TÚNEL DO TEMPO",
1122,"1122.mp4","Ney Matogrosso","UM POUCO DE CALOR",
1123,"1123.mp4","Auto-Sustentável","2 MUNDOS",
1124,"1124.mp4","Negra Li","AMAR EM VÃO",
1125,"1125.mp4","Doce Encontro","AMOR JOGADO FORA",
1126,"1126.mp4","João Bosco e Vinícius","CHORA, ME LIGA",
1127,"1127.mp4","Edson e Hudson","CIÚME EXAGERADO",
1128,"1128.mp4","Paula Toller","DERRETENDO SATÉLITES",
1129,"1129.mp4","Víctor e Léo","DEUS E EU NO SERTÃO",
1130,"1130.mp4","Nayah","É SÓ VOCÊ QUERER",
1132,"1132.mp4","Diogo Nogueira","MALANDRO É MALANDRO E MANÉ É MANÉ",
1133,"1133.mp4","Lenine","MARTELO BIGORNA",
1134,"1134.mp4","Leonardo","MENTIROSA",
1135,"1135.mp4","Waldick Soriano","PERFUME DE GARDÊNIA",
1136,"1136.mp4","Doce Encontro","TÔ DE SACO CHEIO",
1137,"1137.mp4","Kaluana e Adriana Ribeiro","TUA INDIFERENÇA",
1138,"1138.mp4","Márcia","VENENO",
1139,"1139.mp4","Padre Fábio de Mello","VIDA",
1140,"1140.mp4","Nelson Gonçalves","VIOLÃO",
1141,"1141.mp4","Waldick Soriano","A CARTA",
1142,"1142.mp4","Ivete Sangalo","AGORA EU JÁ SEI",
1143,"1143.mp4","Chicas","CARAS E BOCAS",
1144,"1144.mp4","Papas da Língua","DISCO ROCK",
1145,"1145.mp4","Paula Fernandes e Almir Sater","JEITO DE MATO",
1146,"1146.mp4","Marisa Monte","MAIS UMA VEZ",
1147,"1147.mp4","Os Thomés","MEU AMOR",
1148,"1148.mp4","Rionegro e Solimões","MOÍDO DE PAIXÃO",
1149,"1149.mp4","Skank","NOITES DE UM VERÃO QUALQUER",
1150,"1150.mp4","Agnela","PODIA SER",
1151,"1151.mp4","Daniel","PRA SEMPRE TE AMAR",
1152,"1152.mp4","Víctor e Léo","SONHOS E ILUSÕES EM MIM",
1153,"1153.mp4","Aliados","SORRINDO",
1154,"1154.mp4","Jorge e Mateus","TRAZ ELA DE VOLTA PRA MIM",
1155,"1155.mp4","Maria Bethânia","UM JEITO ESTÚPIDO DE TE AMAR",
1156,"1156.mp4","Cazuza","VAI À LUTA",
1157,"1157.mp4","Maria Cecília e Rodolfo","VOCÊ DE VOLTA",
1158,"1158.mp4","César e Paulinho","VOCÊ É TUDO QUE PEDI PRA DEUS",
1159,"1159.mp4","Leonardo","VOLTE, AMOR",
1160,"1160.mp4","Jorge e Mateus","VOU FAZER PIRRAÇA",
1161,"1161.mp4","Udora","A FALTA (QUE ME FAZ)",
1162,"1162.mp4","Beth Carvalho","AMOR DE VERDADE",
1163,"1163.mp4","Jorge Vercilo","DEVANEIO",
1164,"1164.mp4","Carlos José","ESMERALDA",
1165,"1165.mp4","Alcione","EU VOU PRA LAPA",
1166,"1166.mp4","Guilherme e Santiago","FRANGUINHO NA PANELA",
1167,"1167.mp4","Chico Buarque","GOTA D'ÁGUA",
1168,"1168.mp4","Zé Ramalho","JARDIM DAS ACÁCIAS II",
1169,"1169.mp4","Pique Novo","LIGANDO OS FATOS",
1170,"1170.mp4","Paralamas do Sucesso","MEU SONHO",
1171,"1171.mp4","Nelson Gonçalves","MEU VÍCIO É VOCÊ",
1172,"1172.mp4","Bruno e Marrone","NÃO TENTE ME IMPEDIR",
1173,"1173.mp4","Cauby Peixoto","NINGUÉM É DE NINGUÉM",
1174,"1174.mp4","Strike","NO VENENO",
1175,"1175.mp4","CPM 22 ","NOSSA MÚSICA",
1176,"1176.mp4","Udora","PELO MENOS HOJE",
1177,"1177.mp4","Carlos José","QUERIA",
1178,"1178.mp4","Wanderléia","TE AMO",
1179,"1179.mp4","Ana Carolina","VAI",
1180,"1180.mp4","Grupo Tradição","VOCÊ NÃO VALE UM REAL",
1181,"1181.mp4","Zé Geraldo","A FÉ",
1182,"1182.mp4","Ornella Di Santis & Belo","AGENDA",
1183,"1183.mp4","Zé Henrique & Gabriel","AH, QUE DEUS É ESSE!",
1184,"1184.mp4","Sorriso Maroto","AINDA EXISTE AMOR EM NÓS",
1185,"1185.mp4","Calcinha Preta","AMOR DIVIDIDO",
1186,"1186.mp4","João Bosco e Vinicius","CORAÇÃO SÓ VÊ VOCÊ",
1187,"1187.mp4","João Neto e Frederico","DETONOU",
1188,"1188.mp4","Leonardo","ESSE ALGUÉM SOU EU",
1189,"1189.mp4","Franco Levine","EU TÔ AQUI",
1190,"1190.mp4","Calcinha Preta","VOCÊ NÃO VALE NADA",
1191,"1191.mp4","Nando Reis","AINDA NÃO PASSOU",
1192,"1192.mp4","Jussara Silveira","ALÉM DO PARAÍSO",
1193,"1193.mp4","Bruno e Marrone","AMOR NÃO VAI FALTAR",
1194,"1194.mp4","Mc Babi","ANJO DA MADRUGADA",
1195,"1195.mp4","Nelson Gonçalves","CAMISOLA DO DIA",
1196,"1196.mp4","Nelson Gonçalves","CHORE COMIGO",
1197,"1197.mp4","Leonardo","LONGE",
1198,"1198.mp4","Noite Ilustrada","MEUS TEMPOS DE CRIANÇA",
1199,"1199.mp4","Janaina Kais","MULHER PRA NAMORAR",
1200,"1200.mp4","Fernando e Sorocaba","PAGA PAU",
1201,"1201.mp4","Renato Teixeira","A VIOLA E O CANTADOR",
1202,"1202.mp4","Eduardo Duzek","ALÔ, ALÔ BRASIL",
1203,"1203.mp4","Titãs","ANTES DE VOCÊ",
1204,"1204.mp4","Papas da Língua","BALADA DO AMOR PERDIDO",
1205,"1205.mp4","Elizeth Cardoso","CANÇÃO DA VOLTA",
1206,"1206.mp4","Rita Lee","CECY BOM (C'EST SI BON)",
1207,"1207.mp4","Banda Calypso","CHÁ DE MARACUJÁ",
1208,"1208.mp4","Jota Canalha","CHATOS EM DESFILE",
1209,"1209.mp4","Tchê Garotos","CHEGA DE DEPRÊ",
1210,"1210.mp4","Alexandre Pires","CIGANO",
1211,"1211.mp4","Zizi Possi","CORSÁRIO",
1212,"1212.mp4","Inimigos da HP e Edson e Hudson","DE PEITO ABERTO PRA QUEM QUER ME AMAR",
1213,"1213.mp4","Jota Quest","DE VOLTA AO PLANETA DOS MACACOS",
1214,"1214.mp4","Fresno","DESDE QUANDO VOCÊ SE FOI",
1215,"1215.mp4","Liah","E NÃO VOU MAIS DEIXAR VOCÊ TÃO SÓ",
1216,"1216.mp4","Elba Ramalho","É SÓ VOCÊ QUERER",
1217,"1217.mp4","CPM 22","ESTRANHO NO ESPELHO",
1218,"1218.mp4","Claudia Leite","HORIZONTE",
1219,"1219.mp4","Roger e Robson","LINDA MENINA",
1220,"1220.mp4","Zezé Di Camargo e Luciano","NÃO QUERO TE PERDER",
1221,"1221.mp4","Roupa Nova","NATAL TODO DIA",
1222,"1222.mp4","Rodriguinho e Nana Damasceno","O AMOR VENCEU",
1223,"1223.mp4","Teodoro e Sampaio","O TREM TÁ FEIO",
1224,"1224.mp4","Forró do Muído","PALÁCIOS E CASTELOS",
1225,"1225.mp4","Grupo Revelação","PECADORA",
1226,"1226.mp4","Monique Kessous","PITANGUEIRA",
1227,"1227.mp4","Titãs","PORQUE EU SEI QUE É AMOR",
1228,"1228.mp4","Chimarruts","PRA ELA",
1229,"1229.mp4","Eduardo Costa","PRESENTE DE DEUS",
1230,"1230.mp4","Latino e Banda Calypso","PROPOSTAS INDECENTES",
1231,"1231.mp4","Banda Eva e Netinho","QUÍMICA PERFEITA",
1232,"1232.mp4","Rick e Renner","RIACHO SERENO",
1233,"1233.mp4","Emílio Santiago","ROSA MORENA",
1234,"1234.mp4","Jota Quest","SEIS E TRINTA",
1235,"1235.mp4","Skank","SUTILMENTE",
1236,"1236.mp4","Jorge Vercilo","TODA ESPERA",
1237,"1237.mp4","Rud e Robson","TOMAR UM GOLE",
1238,"1238.mp4","Waldick Soriano","TORTURAS DE AMOR",
1239,"1239.mp4","Zélia Duncan","TUDO SOBRE VOCÊ",
1240,"1240.mp4","Hugo e Tiago","VIROU ROTINA",
1241,"1241.mp4","Capital Inicial","A VIDA É MINHA (EU FAÇO O QUE EU QUISER)",
1242,"1242.mp4","João Bosco e Vinícius","AH, É?",
1243,"1243.mp4","Sá e Guarabira","ATRÁS POEIRA",
1244,"1244.mp4","Nélson Gonçalves","CARLOS GARDEL",
1245,"1245.mp4","Maria Cecília e Rodolfo","COISAS ESOTÉRICAS",
1246,"1246.mp4","João Mineiro e Marciano","CRISES DE AMOR",
1247,"1247.mp4","João Bosco e Vinícius","CURTIÇÃO",
1248,"1248.mp4","Padre Fábio de Melo","DEUS É CAPAZ",
1249,"1249.mp4","Titãs","DOMINGO",
1250,"1250.mp4","Bruno e Marrone","DUAS VEZES VOCÊ",
1251,"1251.mp4","Michel Teló e João Bosco e Vinícius","EI, PSIU, BEIJO, ME LIGA",
1252,"1252.mp4","Nechvile","EU NÃO VOU MAIS CHORAR",
1253,"1253.mp4","Zezé Di Camargo & Luciano","FAÇA ALGUMA COISA",
1254,"1254.mp4","Erasmo Carlos","FILHO ÚNICO",
1255,"1255.mp4","Bruno e Marrone","FLASH BACK DE NÓS DOIS",
1256,"1256.mp4","Belo","INCONDICIONALMENTE",
1257,"1257.mp4","Ritchie","LÁGRIMAS DEMAIS",
1258,"1258.mp4","Latino e Dudu Nobre","ME DIVIRTO COM AS ERRADAS",
1259,"1259.mp4","Banda Djavú","ME LIBERA",
1260,"1260.mp4","Jorge e Mateus","MISTÉRIOS",
1261,"1261.mp4","Sampa Crew","O ANJO E A FLOR",
1262,"1262.mp4","João Bosco e Vinícius","O FORA",
1263,"1263.mp4","Lenine","O SILÊNCIO DAS ESTRELAS",
1264,"1264.mp4","Forró do Muído","PISADINHA DO MUÍDO",
1265,"1265.mp4","Teodoro e Sampaio","PITOCO",
1266,"1266.mp4","Leonardo","POR FAVOR, REZA PRA NÓS",
1267,"1267.mp4","Edson e Hudson","PRA NÃO CHORAR",
1268,"1268.mp4","Mylena","QUANDO",
1269,"1269.mp4","Ivete Sangalo","QUANTO AO TEMPO",
1270,"1270.mp4","Banda Eva","REGGAE DO PORTO",
1271,"1271.mp4","D'Black","REVOLTA",
1272,"1272.mp4","Janaynna Targino","SACANAGEM TUA",
1273,"1273.mp4","Legião Urbana","SE FIQUEI ESPERANDO MEU AMOR PASSAR",
1274,"1274.mp4","Banda Calypso","SEM DIREÇÃO",
1275,"1275.mp4","Silvia Machete","SIMPLESMENTE MULHER",
1276,"1276.mp4","Angela Maria","TANGO PRA TEREZA",
1277,"1277.mp4","Fernanda Takai","TREVO DE QUATRO FOLHAS",
1278,"1278.mp4","Elizeth Cardoso","ÚLTIMA FORMA",
1279,"1279.mp4","Fino Coletivo","UMA RAIZ UMA FLOR",
1280,"1280.mp4","Leonardo","VIAJEI",
1281,"1281.mp4","Armandinho","A FILHA",
1282,"1282.mp4","LS Jack","AMANHÃ NÃO SE SABE",
1283,"1283.mp4","Daniel","BOÊMIO APAIXONADO",
1284,"1284.mp4","Chico Buarque","BRISA DO MAR",
1285,"1285.mp4","Madrigal","CABOCLA",
1286,"1286.mp4","Djavan","CAPIM",
1287,"1287.mp4","Ângela Maria e Emílio Santiago","ESCUTA",
1288,"1288.mp4","Chico Buarque e Elza Soares ","FAÇAMOS (VAMOS AMAR)",
1289,"1289.mp4","Gilberto Gil","FORRÓ NO ESCURO",
1290,"1290.mp4","Teodoro e Sampaio","HOMEM QUE BATE EM MULHER",
1291,"1291.mp4","Chico Buarque","HOMENAGEM AO MALANDRO",
1292,"1292.mp4","Jorge Vercilo","INVISÍVEL",
1293,"1293.mp4","Cidade Negra","JOHNNY B. GOOD",
1294,"1294.mp4","Erasmo Carlos","LERO LERO",
1295,"1295.mp4","Silvio César","LEVANTE OS OLHOS",
1296,"1296.mp4","Chico Buarque, Miúcha e Tom Jobim","MANINHA",
1297,"1297.mp4","Adriana Calcanhoto","MARESIA",
1298,"1298.mp4","Lenine","MERO DETALHE",
1299,"1299.mp4","Sérgio Reis","MEU CAVALO ZAINO",
1300,"1300.mp4","Banda Djavú","NÃO DESLIGA O TELEFONE",
1301,"1301.mp4","Dick Farney","NICK BAR",
1303,"1303.mp4","Erasmo Carlos","O CADERNINHO",
1304,"1304.mp4","Roberto Leal","O IMIGRANTE",
1305,"1305.mp4","Zé Ramalho","O VENTO VAI RESPONDER",
1306,"1306.mp4","Detonautas","OLHOS CERTOS",
1307,"1307.mp4","Zezé Di Camargo e Luciano","PRA SEMPRE",
1308,"1308.mp4","Eduardo Costa","PRIMEIRO DE ABRIL",
1309,"1309.mp4","João Bosco","QUANDO O AMOR ACONTECE",
1310,"1310.mp4","Leny Andrade","RIO",
1311,"1311.mp4","Cassiano","SALVE ESSA FLOR",
1312,"1312.mp4","Peri Ribeiro","SAMBA DO AVIÃO",
1313,"1313.mp4","Nenhum de Nós","SANTA FELICIDADE",
1314,"1314.mp4","Maria Gadú","SHIMBALAIÊ",
1315,"1315.mp4","Falamansa","TEMPO DE PAZ",
1316,"1316.mp4","Padre Fábio de Mello","TUDO POSSO",
1317,"1317.mp4","Dorival Caymmi","VATAPÁ",
1318,"1318.mp4","Ataíde e Alexandre","VOCÊ MARCOU PRA MIM",
1319,"1319.mp4","Márcio Greyck","VOCÊ VEIO",
1320,"1320.mp4","Elis Regina","VOU DEITAR E ROLAR",
1321,"1321.mp4","Zé Rodrix","ABAIXO A CUECA",
1322,"1322.mp4","Armandinho","BABILÔNIA ME CHAMA",
1323,"1323.mp4","Belchior","COMENTÁRIOS A RESPEITO DE JOHN",
1324,"1324.mp4","Claudio Zoli","FLOR DO FUTURO",
1325,"1325.mp4","Ivete Sangalo","NA BASE DO BEIJO",
1326,"1326.mp4","Hyldon","NA SOMBRA DE UMA ÁRVORE",
1327,"1327.mp4","Milionário e José Rico","NENHUMA ESPERANÇA",
1328,"1328.mp4","Banda Cheiro de Amor","PENSE EM MIM",
1329,"1329.mp4","César Menotti e Fabiano","TARDE DEMAIS",
1330,"1330.mp4","Jorge e Mateus","VOA BEIJA FLOR",
1331,"1331.mp4","Chitãozinho e Xororó","AI MARIA",
1332,"1332.mp4","Raça Negra","BOA SORTE",
1333,"1333.mp4","Kátia","DIREITOS",
1334,"1334.mp4","Tim Maia","ESTÁ DIFÍCIL DE ESQUECER",
1335,"1335.mp4","Leonardo","FLOR DO MEU SERTÃO",
1336,"1336.mp4","Wando","GAZELA",
1337,"1337.mp4","Banda Eva","LUGAR DA ALEGRIA",
1338,"1338.mp4","Luan Santana","METEORO",
1339,"1339.mp4","Rick Vallen","PRA SER AMOR",
1340,"1340.mp4","Celia","RIO DE JANEIRO (ISSO É O MEU BRASIL)",
1341,"1341.mp4","Bruno e Marrone","TE AMO TANTO",
1342,"1342.mp4","Víctor e Léo","TIMIDEZ",
1343,"1343.mp4","Kelly Key","TÔ FORA",
1344,"1344.mp4","Joanna","TÔ MORRENDO DE SAUDADE",
1345,"1345.mp4","Só Pra Contrariar","TUDO MENOS AMOR",
1346,"1346.mp4","Enzo e Rodrigo","TRAZ DE VOLTA A MINHA VIDA",
1347,"1347.mp4","Marcos e Bellutti","TUDO NO OLHAR",
1348,"1348.mp4","Ângela Rô Rô","VICIEI EM VOCÊ",
1349,"1349.mp4","Frenéticas","VOCÊ ESCOLHEU ERRADO SEU SUPER-HERÓI",
1350,"1350.mp4","Luan Santana","VOCÊ NÃO SABE O QUE É AMOR",
1351,"1351.mp4","Tunai","ADEUS À DOR",
1352,"1352.mp4","Daniel","AMIGA",
1353,"1353.mp4","Calcinha Preta","BEBO E CHORO",
1354,"1354.mp4","Aviões do Forró","BLÁ BLÁ BLÁ",
1355,"1355.mp4","Max Vianna","CANÇÕES DE REI",
1356,"1356.mp4","Eduardo Costa","CANSEI DE SER PALHAÇO",
1357,"1357.mp4","Eduardo Costa","CENA DE UM FILME",
1358,"1358.mp4","Wilson Sideral","CINCO DIAS",
1359,"1359.mp4","Fernando e Sorocaba","DELEGADA",
1360,"1360.mp4","Ronnie Von","DIA DE FOLGA",
1361,"1361.mp4","Víctor e Léo","ESTRELA CADENTE",
1362,"1362.mp4","Latino","EU AMO VOCÊ",
1363,"1363.mp4","Megh Stock","INVEJA",
1364,"1364.mp4","Caetano Veloso","MINHA VOZ, MINHA VIDA",
1365,"1365.mp4","Joanna","NADA SÉRIO",
1366,"1366.mp4","Maria Cecília e Rodolfo","QUEM AMA CUIDA",
1367,"1367.mp4","Grupo Redenção","SAMBA PRA YO YO E YA YA",
1368,"1368.mp4","João Bosco e Vinícius","SEM ESSE CORAÇÃO",
1369,"1369.mp4","Paula Fernandes","SEM VOCÊ",
1370,"1370.mp4","Ronnie Von","TEMPO DE ACORDAR",
1371,"1371.mp4","Fernando e Sorocaba","A CASA CAIU",
1372,"1372.mp4","Dorival Caymmi e Nana Caymmi","ACALANTO",
1373,"1373.mp4","Jorge e Mateus","AMOR COVARDE",
1374,"1374.mp4","Víctor e Léo","AO VIVO E EM CORES",
1375,"1375.mp4","Beth Carvalho","CABÔ MEU PAI",
1376,"1376.mp4","Antônio Marcos","CARA A CARA",
1377,"1377.mp4","Jorge Benjor","CAROLINA CAROL BELA",
1378,"1378.mp4","Vavá","DONA CAROLA",
1379,"1379.mp4","Guilherme e Santiago","E DAÍ",
1380,"1380.mp4","NX Zero","ESPERO A MINHA VEZ",
1381,"1381.mp4","Chicabana","EU QUERO SÓ VOCÊ",
1382,"1382.mp4","Itamar Assumpção","FICO LOUCO",
1383,"1383.mp4","Bruna Caram","FIM DE TARDE",
1384,"1384.mp4","Cássia Eller","GATAS EXTRAORDINÁRIAS",
1385,"1385.mp4","Biafra","LEÃO FERIDO",
1386,"1386.mp4","Secos e Molhados","MUITAS PESSOAS",
1387,"1387.mp4","Belchior","NA HORA DO ALMOÇO",
1388,"1388.mp4","Alisson e Ryan","NÃO SOU SEU BRINQUEDO",
1389,"1389.mp4","Rodrigo Santos","NÃO VÁ",
1390,"1390.mp4","Molejo","NÉ BRINQUEDO NÃO",
1391,"1391.mp4","Cidade Negra","NEGRO REI",
1392,"1392.mp4","João Neto e Frederico","O CARA ERRADO",
1393,"1393.mp4","Zezé Di Camargo e Luciano","O POVO FALA E NÓIS NAMORA",
1394,"1394.mp4","Bruna Caram","PALAVRAS DO CORAÇÃO",
1395,"1395.mp4","Nila Branco","PRA TE AMAR",
1396,"1396.mp4","Latino e Bruno e Marrone","PRECISO PARAR DE CHORAR",
1397,"1397.mp4","Antônio Marcos","QUEM DÁ MAIS",
1398,"1398.mp4","Parangolé","REBOLATION",
1399,"1399.mp4","Belo","REINVENTAR",
1400,"1400.mp4","Chitãozinho e Xororó","SACO DE OURO",
1401,"1401.mp4","Eduardo Costa","A CARTA",
1402,"1402.mp4","Mariana Aydar","A DEUSA DOS ORIXÁS",
1403,"1403.mp4","Luan Santana","A LOUCA",
1404,"1404.mp4","Ney Matogrosso","ARDENTE",
1405,"1405.mp4","Claudia Leite","AS MÁSCARAS",
1406,"1406.mp4","Jeito Moleque","BEM VINDA",
1407,"1407.mp4","Leila Pinheiro","CATAVENTO E GIRASSOL",
1408,"1408.mp4","Maria Cecília e Rodolfo","CEGO, SURDO E MUDO",
1409,"1409.mp4","Chitãozinho e Xororó","COWBOY DO ASFALTO",
1410,"1410.mp4","Sampa Crew e Dani Voguel","DISTÂNCIA",
