code;name;artista;musica;letra
01001;01001.mp4;Paralamas Do Sucesso;A Lhe Esperar;Lá Onde O Vento Vai Dar
01002;01002.mp4;Aviões Do Forró;Agora Chora - Com Banda Calypso;Sei Que Nada Vai Fazer Você Voltar
01003;01003.mp4;Asa De Águia;Além Mar - Com Ivete Sangalo;Tudo Que Eu Preciso Eu Já Tenho Aqui
01004;01004.mp4;Fresno;Alguém Que Te Faz Sorrir;Eu Nunca Consegui Saber Diferenciar
01005;01005.mp4;Eduardo Costa;Amigo - Com Amado Batista;Amigo Fica Um Pouco Aqui Comigo
01006;01006.mp4;Ivete Sangalo;Cadê Dalila;Vai Buscar Dalila
01007;01007.mp4;Ivete Sangalo;Dengo De Amor;Encontrar Você Que Coisa Boa
01008;01008.mp4;Asa De Águia;Dia Do Asa;Leve O Seu Amor Pra Passear
01009;01009.mp4;Asa De Águia;Farrauê;Mãos Para O Alto Todo Mundo
01010;01010.mp4;Chiclete Com Banana;Flutuar;Por Isso Vem Cá Me Traz O Amor
01011;01011.mp4;Edson E Hudson;Imprevisível - Com Bruno E Marrone;Como Esquecer O Seu Olhar
01012;01012.mp4;Banda Calypso;Máquina Do Tempo;Saudade Que Não Vai Embora
01013;01013.mp4;Tony Garrido;Me Libertei;Jurei Nunca Mais Fazer Som Por Aqui
01014;01014.mp4;Eduardo Costa;Melhor Ou Pior;Vou Caminhar Por Uma Estrada
01015;01015.mp4;Moacyr Franco;Milagre Da Flecha;Era Alta Madrugada
01016;01016.mp4;Hugo E Tiago;Misteriosa;Tô Em Casa Mais Um Dia Que Se Acaba
01017;01017.mp4;Guilherme E Santiago;O Amor É Assim;Coração Cansou De Esperar
01018;01018.mp4;Zezé Di Camargo E Luciano;O Que Vai Ser De Nós;Diz Nada Não
01019;01019.mp4;Armandinho;Outra Vida;Talvez Não Seja Nessa Vida Ainda
01020;01020.mp4;Latino;Pancadão Ou Sertanejo - Com André E Adriano;O Sertanejo Faz O Povo Levantar
01021;01021.mp4;Cesar Menotti E Fabiano;Para De Chorar;Você Me Humilhou Me Maltratou Me Desp
01022;01022.mp4;Skank;Para-Raio;Passa O Tempo Lento Ensaio
01023;01023.mp4;Belo;Perfume;Vivia Com O Coração Fechado
01024;01024.mp4;Jake;Pó Pará Com Pó;Pó Pará Com Pó Pó Pará Com Pó Aê
01025;01025.mp4;Jammil E Uma Noites;Saudade Dói;La La La La La La La La La La La La
01026;01026.mp4;Luiz Cláudio E Giuliano;Seu Jardineiro (Margarida);Sábado À Tarde Eu Saí
01027;01027.mp4;Daniela Mércury;Sol Do Sul;Eu Trago O Sol
01028;01028.mp4;Banda Eva;Toda Linda;Olha Lá Ela Passando Toda Linda
01029;01029.mp4;Jota Quest;Vem Andar Comigo;Basta Olhar No Fundo Dos Meus Olhos
01030;01030.mp4;Banda Calypso;Viagem Louca;De Onde Vem
01071;01071.mp4;Musical San Francisco;Atenda O Telefone;Atenda O Telefone Por Favor Meu Bem
01072;01072.mp4;Jeito Moleque;Coração Aberto;Ta Na Cara O Meu Sentimento
01073;01073.mp4;Alexandre Pires;Dessa Vez Eu Me Rendo;Dizem Que Amor Não Mata Mas Judia Da
01074;01074.mp4;Cheiro De Amor;Dias De Sol;Dias De Sol...
01075;01075.mp4;Mart'Nália;Ela É Minha Cara;Causa Reboliço Aonde Passa
01076;01076.mp4;Frejat;Eu Não Quero Brigar Mais Não;Eu Amo O Cheiro Do Seu Cabelo
01077;01077.mp4;Alexandre Peixe;Eu Sou Mais Você;Ô Ô... Ô Ô Ô Ô
01078;01078.mp4;Rodriguinho E Thiaguinho;Fatalmente;Passei A Vida Inteira
01079;01079.mp4;Swing E Simpatia;Irracional;Já Tem Um Mês E Tal Que A Gente Está
01080;01080.mp4;Exaltasamba;Jogo De Sedução;Lê...
01081;01081.mp4;Jota Quest;La Plata;Grana Suja Grana Justa
01082;01082.mp4;Tatau;Mais De Mil Motivos;Eta Garota Assustada
01083;01083.mp4;Wanessa Camargo;Me Pega De Jeito;Se Correr O Bicho Pega
01084;01084.mp4;Inimigos Da Hp;Mil Palavras;Já Procurei Mil Palavras Pra Dizer O
01085;01085.mp4;Víctor E Léo;Nada Normal;Lareira Pra Acender
01086;01086.mp4;Seu Cuca;Não Há;Eu Quero Você
01087;01087.mp4;Jeito Moleque;Nas Nuven;Voz De Criança Pista De Dança
01088;01088.mp4;Zezé Di Camargo E Luciano;Nunca Amei Assim;Sei Que Quero Sei Que Amo
01089;01089.mp4;Strike;O Jogo Virou;E Eu Sigo Em Frente
01090;01090.mp4;Papas Da Língua;Oba; Oba;Oba Oba Oba
01091;01091.mp4;Roberto Leal;Bate O Pé;Ai Bate O Pé Bate O Pé Bate O Pé
01092;01092.mp4;Tihuana;De Longe;Ver As Coisas Como Elas São
01093;01093.mp4;Fernando Mendes;De Que Vale Ter Tudo Na Vida;Nada Mais Importa Agora
01094;01094.mp4;Isabella Taviani;Diga Sim Pra Mim;Eu Pensei Em Comprar Algumas Flores
01095;01095.mp4;O Rappa;Meu Mundo É O Barro;Moço Peço Licença Eu Sou Novo Aqui
01096;01096.mp4;Biquini Cavadão;Múmias - Com Renato Russo;Bem Aventurados Sejam Aqueles
