"code","name","Artista","Musica","Letra"
1001,"01001.mp4","Paralamas Do Sucesso","A Lhe Esperar","Lá Onde O Vento Vai Dar"
1002,"01002.mp4","Aviões Do Forró","Agora Chora - Com Banda Calypso","Sei Que Nada Vai Fazer Você Voltar"
1003,"01003.mp4","Asa De Águia","Além Mar - Com Ivete Sangalo","Tudo Que Eu Preciso Eu Já Tenho Aqui"
1004,"01004.mp4","Fresno","Alguém Que Te Faz Sorrir","Eu Nunca Consegui Saber Diferenciar"
1005,"01005.mp4","Eduardo Costa","Amigo - Com Amado Batista","Amigo Fica Um Pouco Aqui Comigo"
1006,"01006.mp4","Ivete Sangalo","Cadê Dalila","Vai Buscar Dalila"
1007,"01007.mp4","Ivete Sangalo","Dengo De Amor","Encontrar Você Que Coisa Boa"
1008,"01008.mp4","Asa De Águia","Dia Do Asa","Leve O Seu Amor Pra Passear"
1009,"01009.mp4","Asa De Águia","Farrauê","Mãos Para O Alto Todo Mundo"
1010,"01010.mp4","Chiclete Com Banana","Flutuar","Por Isso Vem Cá Me Traz O Amor"
1011,"01011.mp4","Edson E Hudson","Imprevisível - Com Bruno E Marrone","Como Esquecer O Seu Olhar"
1012,"01012.mp4","Banda Calypso","Máquina Do Tempo","Saudade Que Não Vai Embora"
1013,"01013.mp4","Tony Garrido","Me Libertei","Jurei Nunca Mais Fazer Som Por Aqui"
1014,"01014.mp4","Eduardo Costa","Melhor Ou Pior","Vou Caminhar Por Uma Estrada"
1015,"01015.mp4","Moacyr Franco","Milagre Da Flecha","Era Alta Madrugada"
1016,"01016.mp4","Hugo E Tiago","Misteriosa","Tô Em Casa Mais Um Dia Que Se Acaba"
1017,"01017.mp4","Guilherme E Santiago","O Amor É Assim","Coração Cansou De Esperar"
1018,"01018.mp4","Zezé Di Camargo E Luciano","O Que Vai Ser De Nós","Diz Nada Não"
1019,"01019.mp4","Armandinho","Outra Vida","Talvez Não Seja Nessa Vida Ainda"
1020,"01020.mp4","Latino","Pancadão Ou Sertanejo - Com André E Adriano","O Sertanejo Faz O Povo Levantar"
1021,"01021.mp4","Cesar Menotti E Fabiano","Para De Chorar","Você Me Humilhou Me Maltratou Me Desp"
1022,"01022.mp4","Skank","Para-Raio","Passa O Tempo Lento Ensaio"
1023,"01023.mp4","Belo","Perfume","Vivia Com O Coração Fechado"
1024,"01024.mp4","Jake","Pó Pará Com Pó","Pó Pará Com Pó Pó Pará Com Pó Aê"
1025,"01025.mp4","Jammil E Uma Noites","Saudade Dói","La La La La La La La La La La La La"
1026,"01026.mp4","Luiz Cláudio E Giuliano","Seu Jardineiro (Margarida)","Sábado À Tarde Eu Saí"
1027,"01027.mp4","Daniela Mércury","Sol Do Sul","Eu Trago O Sol"
1028,"01028.mp4","Banda Eva","Toda Linda","Olha Lá Ela Passando Toda Linda"
1029,"01029.mp4","Jota Quest","Vem Andar Comigo","Basta Olhar No Fundo Dos Meus Olhos"
1030,"01030.mp4","Banda Calypso","Viagem Louca","De Onde Vem"
1031,"01031.mp4","Lucinha Lins","A Bailarina","Um dois três e quatro..."
1032,"01032.mp4","Simone","A Bicicleta","Bicicleta sou sua amiga..."
1033,"01033.mp4","Boca Livre","A Casa","era uma casa engraçada..."
1034,"01034.mp4","Pedagógica","Ado-Le-Ta","ado le ta le peti..."
1035,"01035.mp4","Xuxa","Arco-Íris","Vou pintar arco iris de..."
1036,"01036.mp4","A Turma Do Balão Magico","Atirei O Pau No Gato","atirei a pau no gato to..."
1037,"01037.mp4","A Turma Do Balão Magico","Baile Dos Passarinhos","Passarinho quer dançar..."
1038,"01038.mp4","Os Saltimbancos","Bicharia","au au au io o miau..."
1039,"01039.mp4","14 Bis","Bola De Meia Bola De Gude","há um menino há um..."
1040,"01040.mp4","Pedagógica","Cai Cai Balão","cai cai balão cai..."
1041,"01041.mp4","Raul Seixas","Carimbador Maluco","cinco quatro tres dois..."
1042,"01042.mp4","Pedagógica","Coelhinhos De Olhos Vermelhos","de olhos vermelhos..."
1043,"01043.mp4","Chiquititas","Coração Com Burquinhos","sabe o coração as vezes..."
1044,"01044.mp4","Jairzinho","Coração De Papelão","recortei a luz da..."
1045,"01045.mp4","Eliana","Dedinhos (Remix)","ou ou dedinhos..."
1046,"01046.mp4","A Turma Do Balão Magico","Dia Dos Pais","um passarinho me acordou..."
1047,"01047.mp4","Sandy E Júnior","Dig Dig Joy","dig sig joy dig joy bo..."
1048,"01048.mp4","Mulekada","Foi De Brincadeira","vamos brincar do que..."
1049,"01049.mp4","Pedagógica","Fui Morar Numa Casinha","fui morar numa casinha..."
1050,"01050.mp4","Os Saltimbancos","História De Uma Gata","me alimentaram me..."
1051,"01051.mp4","Pedagógica","Meu Lanchinho","me lanchinho me..."
1052,"01052.mp4","Pedagógica","Meu Pintinho Amarelinho","meu pintinho amarelinho..."
1053,"01053.mp4","Xuxa","Milagre Da Vida","descobri uma palavra que..."
1054,"01054.mp4","Chico Buarque","O Caderno","sou eu que vou seguir..."
1055,"01055.mp4","Mpb4","O Pato","la vem o pato pata..."
1056,"01056.mp4","Pedagógica","O Sapo Não Lava O Pé","o sapo nao lava o pé..."
1057,"01057.mp4","Infantil","O Sapo Uá Quá Quá","o sapo o sapo ..."
1058,"01058.mp4","Pedagógica","O Sítio Do Seu Lobato","seu lobato tinha um..."
1060,"01060.mp4","Xuxa","Parabéns Da Xuxa","Hoje vai ser uma festa..."
1061,"01061.mp4","Pedagógica","Pirulito Que Bate Bate","pirulito que bate bate..."
1062,"01062.mp4","Pedagógica","Piuí Piuí Piuí","piui piui piui coloca a..."
1063,"01063.mp4","Hélio Ziskind","Ratinho Tomando Banho","tchau preguiça tchau..."
1064,"01064.mp4","Folclore","Samba Lelê","samba lelê ta doente..."
1065,"01065.mp4","Ney Matogrosso","São Francisco","la vai sao francisco..."
1066,"01066.mp4","A Turma Do Balão Magico","Superfantástico","super fantástico amigo..."
1067,"01067.mp4","Jana Bianchi","Tema De Pokémom","esse meu jeito de..."
1068,"01068.mp4","A Turma Do Balão Magico","Um, Dois, Três Indiozinhos","um dois três indiozinhos..."
1069,"01069.mp4","A Turma Do Balão Magico","Ursinho Pimpão (Mi Osito Pelón)","vem meu ursinho querido..."
1070,"01070.mp4","Sandy E Júnior","Vai Ter Que Rebolar","garota o que é que eu..."
1071,"01071.mp4","Musical San Francisco","Atenda O Telefone","Atenda O Telefone Por Favor Meu Bem"
1072,"01072.mp4","Jeito Moleque","Coração Aberto","Ta Na Cara O Meu Sentimento"
1073,"01073.mp4","Alexandre Pires","Dessa Vez Eu Me Rendo","Dizem Que Amor Não Mata Mas Judia Da"
1074,"01074.mp4","Cheiro De Amor","Dias De Sol","Dias De Sol..."
1075,"01075.mp4","Mart'Nália","Ela É Minha Cara","Causa Reboliço Aonde Passa"
1076,"01076.mp4","Frejat","Eu Não Quero Brigar Mais Não","Eu Amo O Cheiro Do Seu Cabelo"
1077,"01077.mp4","Alexandre Peixe","Eu Sou Mais Você","Ô Ô... Ô Ô Ô Ô"
1078,"01078.mp4","Rodriguinho E Thiaguinho","Fatalmente","Passei A Vida Inteira"
1079,"01079.mp4","Swing E Simpatia","Irracional","Já Tem Um Mês E Tal Que A Gente Está"
1080,"01080.mp4","Exaltasamba","Jogo De Sedução","Lê..."
1081,"01081.mp4","Jota Quest","La Plata","Grana Suja Grana Justa"
1082,"01082.mp4","Tatau","Mais De Mil Motivos","Eta Garota Assustada"
1083,"01083.mp4","Wanessa Camargo","Me Pega De Jeito","Se Correr O Bicho Pega"
1084,"01084.mp4","Inimigos Da Hp","Mil Palavras","Já Procurei Mil Palavras Pra Dizer O"
1085,"01085.mp4","Víctor E Léo","Nada Normal","Lareira Pra Acender"
1086,"01086.mp4","Seu Cuca","Não Há","Eu Quero Você"
1087,"01087.mp4","Jeito Moleque","Nas Nuven","Voz De Criança Pista De Dança"
1088,"01088.mp4","Zezé Di Camargo E Luciano","Nunca Amei Assim","Sei Que Quero Sei Que Amo"
1089,"01089.mp4","Strike","O Jogo Virou","E Eu Sigo Em Frente"
1090,"01090.mp4","Papas Da Língua","Oba, Oba","Oba Oba Oba"
1091,"01091.mp4","Roberto Leal","Bate O Pé","Ai Bate O Pé Bate O Pé Bate O Pé"
1092,"01092.mp4","Tihuana","De Longe","Ver As Coisas Como Elas São"
1093,"01093.mp4","Fernando Mendes","De Que Vale Ter Tudo Na Vida","Nada Mais Importa Agora"
1094,"01094.mp4","Isabella Taviani","Diga Sim Pra Mim","Eu Pensei Em Comprar Algumas Flores"
1095,"01095.mp4","O Rappa","Meu Mundo É O Barro","Moço Peço Licença Eu Sou Novo Aqui"
1096,"01096.mp4","Biquini Cavadão","Múmias - Com Renato Russo","Bem Aventurados Sejam Aqueles"
